,ClientId,ClientServiceId,Duration,EndDateTime,FirstAppointment,GenderPreference,Id,LocationId,Notes,ProgramId,ProviderId,SessionTypeId,StaffId,StaffRequested,StartDateTime,Status
63,100005495,,30,2020-01-08T18:30:00,False,None,116931,1,,8,0,1118,100000037,False,2020-01-08T18:00:00,NoShow
64,100008170,101008.0,30,2020-01-08T19:15:00,False,Female,116935,1,,4,0,1008,100000037,False,2020-01-08T18:45:00,Completed
65,100008382,,60,2020-01-08T21:30:00,True,None,116937,1,,5,0,1024,100000037,False,2020-01-08T20:30:00,NoShow
66,100008371,100003.0,60,2020-01-08T12:00:00,True,None,116906,1,,2,0,5,100000061,False,2020-01-08T11:00:00,Completed
67,100008374,101008.0,30,2020-01-08T13:00:00,True,None,116912,1,,4,0,1008,100000061,False,2020-01-08T12:30:00,Completed
68,100007483,101008.0,30,2020-01-08T14:00:00,False,None,116916,1,,4,0,1008,100000061,False,2020-01-08T13:30:00,Completed
69,100008375,100003.0,60,2020-01-08T15:00:00,True,None,116915,1,$55,2,0,5,100000061,False,2020-01-08T14:00:00,Completed
70,100008177,101092.0,60,2020-01-08T16:30:00,False,Male,116895,1,,5,0,1024,100000061,False,2020-01-08T15:30:00,Completed
71,100008376,101026.0,120,2020-01-08T18:30:00,True,None,116921,1,,2,0,1020,100000061,False,2020-01-08T16:30:00,Completed
72,100008381,101008.0,30,2020-01-08T19:15:00,True,Female,116933,1,,4,0,1008,100000061,True,2020-01-08T18:45:00,Completed
73,100008383,101030.0,30,2020-01-08T21:30:00,True,None,116939,1,,5,0,1024,100000061,False,2020-01-08T21:00:00,Completed
74,100008363,101035.0,60,2020-01-07T14:30:00,True,None,116882,1,,10,0,1028,3,False,2020-01-07T13:30:00,Completed
75,100008351,101031.0,90,2020-01-07T16:00:00,True,None,116850,1,,5,0,1025,3,False,2020-01-07T14:30:00,Completed
76,100000206,101194.0,60,2020-01-07T17:15:00,False,None,116879,1,,21,0,1111,3,True,2020-01-07T16:15:00,Completed
77,100000206,101010.0,45,2020-01-07T18:00:00,False,None,116880,1,,2,0,1010,3,True,2020-01-07T17:15:00,Completed
78,100005259,100003.0,60,2020-01-07T19:15:00,False,None,116889,1,25%,2,0,5,3,True,2020-01-07T18:15:00,Completed
79,100005495,,30,2020-01-07T19:45:00,False,None,116900,1,,8,0,1118,3,False,2020-01-07T19:15:00,NoShow
80,100004862,101010.0,45,2020-01-07T14:00:00,False,None,116878,1,,2,0,1010,100000004,False,2020-01-07T13:15:00,Completed
81,100007329,101006.0,30,2020-01-07T14:45:00,False,None,116886,1,,2,0,1006,100000004,False,2020-01-07T14:15:00,Completed
82,100000320,101110.0,90,2020-01-07T16:30:00,False,None,116877,1,,2,0,5,100000004,False,2020-01-07T15:00:00,Completed
83,100008363,100003.0,60,2020-01-07T14:30:00,True,None,116883,1,,2,0,5,100000037,False,2020-01-07T13:30:00,Completed
84,100000320,101110.0,90,2020-01-07T16:30:00,False,None,116876,1,,2,0,5,100000037,False,2020-01-07T15:00:00,Completed
85,100008368,101031.0,90,2020-01-07T18:30:00,True,None,116894,1,,5,0,1025,100000037,False,2020-01-07T17:00:00,Completed
86,100008364,101030.0,60,2020-01-07T20:00:00,True,None,116884,1,,5,0,1024,100000037,False,2020-01-07T19:00:00,Completed
87,100008362,101010.0,45,2020-01-07T13:00:00,True,None,116881,1,,2,0,1010,100000061,False,2020-01-07T12:15:00,Completed
88,100000599,,60,2020-01-07T17:30:00,False,None,116893,1,,8,0,1123,100000061,False,2020-01-07T16:30:00,NoShow
89,100004050,101102.0,45,2020-01-07T18:15:00,False,None,116888,1,,2,0,1010,100000061,False,2020-01-07T17:30:00,Completed
90,100000377,101134.0,10,2020-01-07T18:25:00,False,None,116899,1,,19,0,1082,100000061,False,2020-01-07T18:15:00,Completed
91,100000451,101010.0,45,2020-01-07T19:15:00,False,None,116898,1,,2,0,1010,100000061,False,2020-01-07T18:30:00,Completed
92,100008369,101029.0,45,2020-01-07T21:45:00,True,None,116904,1,,5,0,1023,100000061,False,2020-01-07T21:00:00,Completed
93,100008353,101028.0,30,2020-01-06T16:30:00,True,None,116853,1,,5,0,1022,3,False,2020-01-06T16:00:00,Completed
